"","joinfield","so","year","histcode","franchise","bavg","onbasepct","age","g","wk","H","rbi","ab","pa","hr","longname","sacbunts","sacflies","walked","histname","buntspg","kpg","wpg","hrpg","avgpitchers","non2sHits","non2sAB","non2savg","twoStrikeH","twoStrikeAB","twoStrikeAvg"
"1","1901-ATL",518,1901,"BSN","ATL",0.249,0.298,"29.7",140,303,1180,449,4746,5218,28,"1901 Boston Beaneaters",135,NA,NA," Boston Beaneaters",0.964285714285714,3.7,2.16428571428571,0.2,1.51898734177215,NA,NA,NA,NA,NA,NA
"2","1901-BAL",387,1901,"MLA","BAL",0.261,0.314,"26.3",139,325,1250,513,4795,5288,26,"1901 Milwaukee Brewers",122,NA,NA," Milwaukee Brewers",0.877697841726619,2.7841726618705,2.33812949640288,0.18705035971223,NA,NA,NA,NA,NA,NA,NA
"3","1901-BOS",281,1901,"BOS","BOS",0.278,0.33,"28.0",138,331,1353,632,4866,5349,37,"1901 Boston Americans",105,NA,NA," Boston Americans",0.760869565217391,2.03623188405797,2.39855072463768,0.268115942028986,1.66025641025641,NA,NA,NA,NA,NA,NA
"4","1901-CHC",530,1901,"CHC","CHC",0.258,0.31,"26.5",140,314,1250,481,4844,5277,18,"1901 Chicago Orphans",67,NA,NA," Chicago Orphans",0.478571428571429,3.78571428571429,2.24285714285714,0.128571428571429,1.76282051282051,NA,NA,NA,NA,NA,NA
"5","1901-CHW",336,1901,"CHW","CHW",0.276,0.35,"30.0",137,475,1303,656,4725,5397,32,"1901 Chicago White Sox",135,NA,NA," Chicago White Sox",0.985401459854015,2.45255474452555,3.46715328467153,0.233576642335766,1.90322580645161,NA,NA,NA,NA,NA,NA
"6","1901-CIN",587,1901,"CIN","CIN",0.251,0.303,"26.9",142,323,1232,476,4914,5392,38,"1901 Cincinnati Reds",113,NA,NA," Cincinnati Reds",0.795774647887324,4.13380281690141,2.27464788732394,0.267605633802817,1.63225806451613,NA,NA,NA,NA,NA,NA
"7","1901-CLE",322,1901,"CLE","CLE",0.271,0.313,"28.4",138,243,1311,523,4833,5200,12,"1901 Cleveland Blues",76,NA,NA," Cleveland Blues",0.550724637681159,2.33333333333333,1.76086956521739,0.0869565217391304,1.89171974522293,NA,NA,NA,NA,NA,NA
"8","1901-DET",348,1901,"DET","DET",0.279,0.34,"27.9",136,380,1303,611,4676,5245,29,"1901 Detroit Tigers",135,NA,NA," Detroit Tigers",0.992647058823529,2.55882352941176,2.79411764705882,0.213235294117647,1.81290322580645,NA,NA,NA,NA,NA,NA
"9","1901-LAD",446,1901,"BRO","LAD",0.287,0.335,"29.5",137,312,1399,633,4879,5312,32,"1901 Brooklyn Superbas",80,NA,NA," Brooklyn Superbas",0.583941605839416,3.25547445255474,2.27737226277372,0.233576642335766,1.58974358974359,NA,NA,NA,NA,NA,NA
"10","1901-MIN",339,1901,"WSH","MIN",0.269,0.326,"28.4",138,356,1282,561,4772,5259,33,"1901 Washington Senators",80,NA,NA," Washington Senators",0.579710144927536,2.45652173913043,2.57971014492754,0.239130434782609,1.67295597484277,NA,NA,NA,NA,NA,NA
"11","1901-NYY",373,1901,"BLA","NYY",0.294,0.353,"26.9",135,369,1348,633,4589,5111,24,"1901 Baltimore Orioles",101,NA,NA," Baltimore Orioles",0.748148148148148,2.76296296296296,2.73333333333333,0.177777777777778,NA,NA,NA,NA,NA,NA,NA
"12","1901-OAK",344,1901,"PHA","OAK",0.289,0.337,"27.6",137,301,1409,665,4882,5320,35,"1901 Philadelphia Athletics",85,NA,NA," Philadelphia Athletics",0.62043795620438,2.51094890510949,2.1970802919708,0.255474452554745,1.51948051948052,NA,NA,NA,NA,NA,NA
"13","1901-PHI",550,1901,"PHI","PHI",0.266,0.334,"28.4",140,430,1275,552,4793,5411,24,"1901 Philadelphia Phillies",126,NA,NA," Philadelphia Phillies",0.9,3.92857142857143,3.07142857142857,0.171428571428571,1.50649350649351,NA,NA,NA,NA,NA,NA
"14","1901-PIT",497,1901,"PIT","PIT",0.286,0.345,"27.8",140,386,1407,636,4913,5468,29,"1901 Pittsburgh Pirates",117,NA,NA," Pittsburgh Pirates",0.835714285714286,3.55,2.75714285714286,0.207142857142857,1.64968152866242,NA,NA,NA,NA,NA,NA
"15","1901-SFG",578,1901,"NYG","SFG",0.253,0.303,"27.9",141,303,1225,458,4839,5260,19,"1901 New York Giants",73,NA,NA," New York Giants",0.517730496453901,4.09929078014184,2.14893617021277,0.134751773049645,1.66451612903226,NA,NA,NA,NA,NA,NA
"16","1901-STL",540,1901,"STL","STL",0.284,0.337,"28.9",142,314,1430,657,5039,5565,39,"1901 St. Louis Cardinals",122,NA,NA," St. Louis Cardinals",0.859154929577465,3.80281690140845,2.2112676056338,0.274647887323944,1.83006535947712,NA,NA,NA,NA,NA,NA
"17","1902-ATL",483,1902,"BSN","ATL",0.249,0.313,"28.8",142,398,1178,452,4726,5298,14,"1902 Boston Beaneaters",131,NA,NA," Boston Beaneaters",0.922535211267606,3.40140845070423,2.80281690140845,0.0985915492957746,1.51898734177215,NA,NA,NA,NA,NA,NA
"18","1902-BAL",324,1902,"SLB","BAL",0.265,0.323,"27.9",140,373,1254,520,4736,5251,29,"1902 St. Louis Browns",104,NA,NA," St. Louis Browns",0.742857142857143,2.31428571428571,2.66428571428571,0.207142857142857,1.89240506329114,NA,NA,NA,NA,NA,NA
"19","1902-BOS",371,1902,"BOS","BOS",0.278,0.322,"28.6",138,275,1356,572,4875,5292,42,"1902 Boston Americans",100,NA,NA," Boston Americans",0.72463768115942,2.68840579710145,1.99275362318841,0.304347826086957,1.66025641025641,NA,NA,NA,NA,NA,NA
"20","1902-CHC",566,1902,"CHC","CHC",0.251,0.308,"26.7",143,358,1224,434,4870,5428,6,"1902 Chicago Orphans",156,NA,NA," Chicago Orphans",1.09090909090909,3.95804195804196,2.5034965034965,0.041958041958042,1.76282051282051,NA,NA,NA,NA,NA,NA
"21","1902-CHW",379,1902,"CHW","CHW",0.268,0.332,"28.5",138,411,1248,537,4654,5255,14,"1902 Chicago White Sox",154,NA,NA," Chicago White Sox",1.11594202898551,2.7463768115942,2.97826086956522,0.101449275362319,1.90322580645161,NA,NA,NA,NA,NA,NA
"22","1902-CIN",467,1902,"CIN","CIN",0.282,0.328,"28.3",141,297,1383,531,4908,5342,18,"1902 Cincinnati Reds",98,NA,NA," Cincinnati Reds",0.695035460992908,3.31205673758865,2.1063829787234,0.127659574468085,1.63225806451613,NA,NA,NA,NA,NA,NA
"23","1902-CLE",353,1902,"CLE","CLE",0.289,0.336,"27.2",137,308,1401,582,4840,5303,33,"1902 Cleveland Bronchos",120,NA,NA," Cleveland Bronchos",0.875912408759124,2.57664233576642,2.24817518248175,0.240875912408759,1.89171974522293,NA,NA,NA,NA,NA,NA
"24","1902-DET",289,1902,"DET","DET",0.251,0.312,"29.1",137,359,1167,488,4644,5308,22,"1902 Detroit Tigers",83,NA,NA," Detroit Tigers",0.605839416058394,2.10948905109489,2.62043795620438,0.160583941605839,1.81290322580645,NA,NA,NA,NA,NA,NA
"25","1902-LAD",491,1902,"BRO","LAD",0.256,0.311,"28.5",141,319,1242,476,4845,5344,19,"1902 Brooklyn Superbas",118,NA,NA," Brooklyn Superbas",0.836879432624113,3.4822695035461,2.26241134751773,0.134751773049645,1.58974358974359,NA,NA,NA,NA,NA,NA
"26","1902-MIN",292,1902,"WSH","MIN",0.283,0.335,"30.4",138,329,1338,606,4734,5301,47,"1902 Washington Senators",81,NA,NA," Washington Senators",0.58695652173913,2.11594202898551,2.38405797101449,0.340579710144928,1.67295597484277,NA,NA,NA,NA,NA,NA
"27","1902-NYY",424,1902,"BLA","NYY",0.277,0.342,"27.9",141,417,1318,598,4760,5348,33,"1902 Baltimore Orioles",117,NA,NA," Baltimore Orioles",0.829787234042553,3.00709219858156,2.95744680851064,0.234042553191489,NA,NA,NA,NA,NA,NA,NA
"28","1902-OAK",288,1902,"PHA","OAK",0.287,0.34,"29.1",137,343,1369,673,4762,5261,38,"1902 Philadelphia Athletics",118,NA,NA," Philadelphia Athletics",0.861313868613139,2.1021897810219,2.5036496350365,0.277372262773723,1.51948051948052,NA,NA,NA,NA,NA,NA
"29","1902-PHI",480,1902,"PHI","PHI",0.247,0.305,"27.3",138,356,1139,389,4615,5125,5,"1902 Philadelphia Phillies",122,NA,NA," Philadelphia Phillies",0.884057971014493,3.47826086956522,2.57971014492754,0.036231884057971,1.50649350649351,NA,NA,NA,NA,NA,NA
"30","1902-PIT",440,1902,"PIT","PIT",0.286,0.344,"27.4",142,372,1410,660,4926,5480,18,"1902 Pittsburgh Pirates",118,NA,NA," Pittsburgh Pirates",0.830985915492958,3.09859154929577,2.61971830985915,0.126760563380282,1.64968152866242,NA,NA,NA,NA,NA,NA
"31","1902-SFG",542,1902,"NYG","SFG",0.237,0.282,"28.9",141,254,1097,338,4632,5114,6,"1902 New York Giants",108,NA,NA," New York Giants",0.765957446808511,3.84397163120567,1.80141843971631,0.0425531914893617,1.66451612903226,NA,NA,NA,NA,NA,NA
